"title","story","category","location"
"A Black Robed Shadow","I work in security in New Zealand. Our security company got a job to provide overnight security during the construction of a retirement home. About 5 different security guards who work for the company and that have been assigned to the retirement village overnight have reported seeing a black shadow appearing and disappearing, including myself.

We were discussing this last night and were trying to best describe what it looked like and what was the closest description we could come up with to describe this shadow. The best definition we could come up with was that it was the dark shadow, which looked human like, but was dressed in a black robe. The closest thing we could relate it to was that it looked like the Grim Reaper, except with no sickle.

Most of the time, the dark shadow just stands there, watching us. Sometimes we see it move and run before it disappears. One of the security Guards freaked out when it saw it standing on the roof of one of the portacoms just standing there staring at him. He could smell a weird burning flesh type smell. When the dark shadow saw him looking at it - it disappeared.

On the same night, when the security guard went to do his patrols, he found a radio turned up really loud on the construction site. No one had been there all night so he didn't know who turned it on. He turned it off.

About an hour later he came back to do the patrol again and found it on again. So this time he turned it off and pulled out the power cord. When he did this another radio down the hall turned on - about 20 meters away. He went and switched this one off as well. He did a search of the whole place but could find no one. He was freaking out.

A different security Guard said he had seen the same black shadow appear and disappear. Later on in the night, he was sitting in his car, and had closed his eyes for about 15 seconds when he heard a loud knocking sound on the windows of his car. He quickly opened his eyes and looked to see who it was but there was no one around. He freaked out because no one person could physically knock on the window and run away in the matter of 2 seconds, without being seen.

My question is, does anybody know what this dark shadowed, Grim reaper looking thing is? Has anybody else experienced something like this?","Haunted Places","New Zealand"
"My Husband's Dead Grandmother and the Hag","Do you believe in ghosts and hags? Well my husband does. Although I do believe in ghosts, I don't know about ""hags"". But my husband is a firm believer after his experience. You may have read my other stories involving encounters after my grandfather died and my son's ghost story. Well this story involves my husband. My story about my grandfather, if you read, involved the fact that his spirit lived on for a short time after his passing, even though I personally never saw him, but there were a lot of things that had happened that only could have been him. In my son's ghost story, you may have remembered that my son had an encounter with a picture of his grandfather that was on his wall several years after his grandfather passed away. Although neither my son nor I have actually come face to face with any apparitions.

Well, the same does not hold true for my husband. As he, my son and I love to watch horror movies, only me and my son love reading each other scary stories. When I try to read the stories to my son or get on this site, my husband will get annoyed with me and roll his eyes at me because he knows how me and my son's imaginations get the best of us and then my husband suffers!

Well, one time after such a night, my husband looks at me with all sincerity after my son left the room and he said ""you know I saw my grandmother after she died"", I said, ""what, are you serious?"" and he said when he was 12 years old he was lying in bed before daybreak and about to rise for school and it was still dark in his room. He said something had awakened him. His bed was facing the wall so he had turned over thinking it was his mom coming into his room to wake him up. As he turned around, there in his opened area closet space he saw a white glow. As he adjusted his eyes, he could then clearly see this face ""staring"" down at him. He then realized that it was his dead grandmother. He said she was just glowing and staring at him, but only her face was clear, the rest of her was just a white glow. He said he thought nobody would believe him so he only ever told his mom and me. He said his grandmother had died only 4 months before this happened.

Afterward, I said to him ""have you had any other experiences"" and he said that when he was around 10 years old, he had lived in a small house with his parents and younger brother and he and his brother's bedroom was just off the kitchen. Well he said his brother's bed was against the wall but his was kind of facing the kitchen and his bedroom door was opened. He said how this had always scared him as the kitchen was dark to look at. Well, one night he couldn't sleep and was laying there in his bed looking out the door, when he thought he saw something. As he looked closer, he saw an old woman's face coming closer and closer in the dark with long dark stringy hair and red eyes. He said he looked again because he couldn't believe it and sure enough, it was coming closer and his first thought was to get up and jump in bed with his brother. I said ""well why didn't you scream for you parents or scream out loud,"" and he said because he had always heard about the ""HAG"" and he heard that if you were touching another person when she appeared then she couldn't get you. And he firmly believed that's what he saw that night. He's 33 now, but he's so sincere in telling his story.

He said that these were the only two experience's that he had. But they were enough for me. It's one thing to have unexplained encounters but to actually be face to face, well that's something else.

Just wondering if anybody else out there has experienced the HAG, and what that experience involved. Please comment!","Family / Friends Visits","United States"
"A Few Experiences of my Own","I have read most of the stories on this web site and even though my experiences are not as scary as them, I thought I would submit them anyway. Let me know what you think?

1) My first ever encounter, I was about 22 years old and lived with my parents in South Harrow, Middlesex (UK). My sister and I used to share a room, as the room was only small we had bunk beds, I slept on the bottom and my sister on the top. One night as usual we got into bed, the light went off and I cuddled up under the duvet, I must have laid there for about 5 minutes with my eyes closed, willing sleep, when I felt something in the room. I opened my eyes and at the bottom of my bed was a figure of a man squatting at the end of my bed (the top bunk was really low so you couldn't sit up), well as you can imagine I threw the cover over my head and pushed my hand up to hit the above mattress to wake my sister, when she asked what was wrong, a looked over the duvet while telling her what I had seen and the man had gone. I didn't sleep well after that!

2) My second was when I had moved out and was lodging with my friend and her 5 year old boy in Pinner, Middlesex. It was a small 2 bedroom flat on the third floor, there was always something really weird about the hallway in the flat, you would see things (shadows) from the corner of your eye moving down the hall. A few times I had been woken up by 3 short knocks on my door and when I would open it there would be no one on the other side, thinking that it was the my friends, I rang up the hall to the living room only to find that they were out. I told my friend about this and her mum freaked me out by saying when you hear 3 knocks on your door someone close to you is going to die, but she did say that it was three long knocks and what I heard was more raps. We used to smell a certain aftershave every now and again also, when we had no men living in the flat.

3) My third and final encounter was when I was living in Pinner, I was laying on my bed with my back to the room, facing the window, when suddenly I got a smell of my auntie's aroma, (my auntie died of cancer when I was 18 years old, also she was from scotland) I felt her presence behind me, I didn't dare turn around, and I said very quickly out loud ""please leave"" and she left the room and I haven't felt her since, sometimes I wish I'd turned around and not said what I said, maybe she wanted to speak to me or tell me something, or as she was very psychic when she was alive and saw plenty of spirits, good and bad, perhaps she was telling me there was an after life after all!

I got told last summer when I went to a wedding in Scotland by my cousin that I have someone watching over me to guide me and that I have special gifts I haven't yet learnt to use!

How do you learn to use them?

Hope you enjoyed my small experiences.","Misc","United Kingdom"
"Mill Haunting","My husband works as a maintenance manager in an old mill building. The building was constructed in 1890. It has had many uses over the years from the textile industry to the production of fire engines and rifles. It is currently an educational facility. Just the age of the building makes it interesting but if you add the history, it is even more so. My husband had told me from the beginning that the building was haunted. Stories abound from others that work in the building.

The first experience my husband had was hearing the laughter of small girls. This was according to him at about 3am on a Monday morning. The building was empty except for my husband. He was in covering for a janitor that was on vacation. He was on the third floor of the building and was feeling uncomfortable for some reason. He had cleaned a set of bathrooms and was making his way to the nearby offices when he heard a giggle. He said his blood ran cold and he just stopped where he was. He paused and listened but heard nothing. He started to move again and once again he heard laughter. This time there were two distinct voices laughing. Both sounding like small children. At this point he decided to go to another part of the building until the sun came up.

Later that morning he returned to the area that seemed so frightening a short time earlier. Now in the warm early morning light it wasn't scary at all. He did notice that there were pictures along the wall near where he had heard the laughter. Two of these pictures caught his eye. The pictures, each 8x10 showed sister in victorian dress. While they were adults, the coincidence sent a shiver down his spine.

The next week when the janitor he was covering for returned to work, my husband asked if he had ever heard anything while working up there. ""You mean my girls?"" was the reply. The janitor said the building was really creepy at night but that nothing bad ever happened, so he didn't worry about it. He said that along with the laughter of little girls, there were certain doors that would slam even though they were already closed. Also there were seats in the auditorium which he would always find down, even though they should spring back like theater seats. It was always the same seats and it didn't matter if the room was used at all during the previous day or not. He showed me the seats and to this day I will find them down in the morning.

On and off over the years he has had to work third shift for different reasons. Each time he does there is an experience. He has himself heard doors he recently closed slam shut. He has heard muffled conversations only to find the area empty when he investigates. He has also discussed this with other employees and anyone who has spent time in the building alone off hours has something to share.

The first time I was with him at night when the building was empty we experienced something together. He had stopped because I needed to go to the bathroom and we were nearby so it was ideal. He also wanted to check an office for a leak as it was a rainy evening and he had had problems earlier with the space. We were inside this particular lab and while it was dry, there was something more upsetting going on. We stood in the space and he checked for a leak, we turned to leave and he paused. I followed his gaze to the bottom of the door. We could plainly see shadows moving outside the door by looking at the gap between the door and the floor. It wasn't just one or two, it was nearly constant. As if an large group of people were walking by. It subsided in just a few moments. We walked outside the lab and checked the entire floor. We were alone. We checked each floor and found no one else in the building, the parking lot was empty too.

Since then, nearly each time we are alone in the building we have some strange encounter. I will post more as time allows.","Haunted Places","United States"
"Evil Entity","This story is about my aunt Marlene, I remember it like it was yesterday. During winter my parents, my brothers and me were at home in the evening, my mom was cleaning, my brother, my dad and myself were watching a show on t.v (don't remember what) until my aunt Marlene came in the house crying, without any winter coat or boots. She was carrying a picture of Jesus with her.

My dad and my mom rushed to her and asked what happened to her, my brothers and me were looking at her scared and confused. She told my parents in innuktitut that she was attacked by something when she was shutting the light for the night to go to sleep. When she shut all the lights off like she used to, something grabbed her (and I must tell you there was no one in the house, absolutely no one in the house but her) and dragged her into the kitchen while she was trying to wrestle herself out of the entity's hold.

When her and the entity reached the kitchen, whatever it is that was holding my aunt captive took a bottle of my aunts medication that was on top of the refrigerator and tried to force her to swallow every one of the medicine. She was able to set herself free from the entity, took a picture of Jesus and run to my parents house without any winter outfit (I forgot to mention that we live close to her). My mom called my grandparent and told them what had happened to Marlene while my dad tried to calm her down from her encounter. My aunt was sent to the health center because she said that she swallowed some of the medicine while she was screaming.

Some people lived in the house that my aunt lived in, but not many has lived there for close to a year. I finally heard a story that someone had committed suicide in the house that my aunt and many others that lived in there long before. A couple years ago, I heard from one of my cousin that the house is now boarded and shut for good, but somehow some teenagers would go in and see how long they can last in the house, and I can tell you this that they wouldn't last for 5-15 minutes.

That's my story for today, right now my whole body is kind of numb from typing this whole thing. There still a lot about my families' encounter that I like to tell you about in the near future. I hope you enjoyed this story as much as I didn't really like to type it (too scary and yet interesting).

See ya","Misc","Canada"
"The Old Mill","I was working an overnight shift in an old textile mill. The mill was 117 years old. I had to stay overnight to keep an eye on a leaky water main where it entered the building. By 11pm the building was empty. I made a quick tour of the building just to satisfy myself that I was alone. Security had gone through before me and when they left they told me I was alone in the building as well. It was about 11:30pm when I returned to my post to watch the pipe leak slowly. There wasn't much to do in the small space so I started to read a book.

It was about 12:30am when I heard a muffled conversation outside the space I was in. I got up and stuck my head out of the room and looked down the hallway but there was no one there. I sat back down and picked up my book and I heard it again. This time I walked out of the office and up and down the hall. I checked each room and found no one else there. Now this is a 3 story building and I only checked the first floor, the floor I was on. I sat back down and read for a little while longer. I needed to stretch so I took a walk.

I went to the third floor and walked the main corridor. Everything was quiet. Same thing on the second floor. I looked out the windows and saw my vehicle was the only one in the lot.

It was about and hour later and I had made my tour of the building and heated up a dinner. I was sitting in the space with the leaky pipe eating dinner when I heard the muffled voices again. I ignored it this time and eventually they either faded away or I tuned them out. I sat there and read for about an hour after I ate with no other noises.

At 3am I got up to go to the bathroom. I walked down the corridor passing 4 offices before getting to the bathroom. All was quiet and dark inside the offices. I did my business and washed my hands and walked out of the bathroom. I noticed the office nearest me now had a small desk lamp on. I didn't see anyone in the office so I stuck my head outside to see if a car was here. There were none. I went back inside and looked around. I called out a couple of times but got no answer. I mustered up some courage and entered the locked office where the desk lamp was shining. I looked around and there didn't seem to be anything out of place. I shut off the light and backed out of the room. I pulled the door tight and backed away.

Just as I left the corridor and entered the space with the leaky pipe I heard a door slam. I may have made a noise myself, may have let out a startled scream but I am not sure. I looked back out, down the corridor and I saw nothing. I was pretty well freaked out but I managed to walk down the hallway. When I got to the last office near the bathrooms I noticed that the desk lamp was back on. I didn't bother turning it off again. I went back to my space and sat listening. I couldn't even concentrate enough to read. I just sat and listened. The voices would come and go. Sometimes nearly loud enough to make out the conversation but never quite. As the sun rose and the light made it's way inside the building the voices ended.

The first shift worker arrived just before 6am and I couldn't wait to get out of there. It was just too creepy for me.","Haunted Places","United States"
"Where Did You Get that God-awful Tie?","I worked for years as a professional psychic and ghost encounters is just one of the themes I dealt with. I've heard many stories, not just from my clients, but other individuals that tell stories of how a deceased love one comes to get their dying loved one. The following story is so sweet and tender, I thought the readers here would enjoy it.

Valerie and Barry were very much in love and planned to be married; a second time around for both of them. They were looking forward to beginning a new life together. Barry's mom was bedridden with a terminal illness that left her unable to speak or voice her needs. Valerie and Barry took turns sitting by her bed for awhile in the evenings to read to her. They knew that even though she couldn't respond verbally or physically, that there was something inside of her that registered the loving support they gave her. She had once been an active community leader and her children benefited from her persistence and loving care.

They were heart broken to see her now frail frame ravaged with disease. She could no longer focus her gaze and stared emptily into space. They had lived together for over three years and were ready to make it official, but because of ""Ma"", had postponed their wedding several times. Friends and other relatives assured them that they would take good care of her while they honey-mooned in the Caribbean aboard a cruise ship. No one knew how long ""Ma"" would live and she was already in her eighties. Everyone joked about her outliving all of them as the family history was one of a long lived people. Her father had lived to be 95 and her mother 93 which they attributed to their involvement in the community; staying active and maintaining a sense of humor. They had been active up until their deaths of stroke and heart attack, respectively. They had not languished in pain as so many of their peer group had done and as one niece said, ""They did well with their lives!"" Whereas the loss was duly grieved, one could not help but smile upon looking back over their busy lives. They had made the most of every moment ""God"" had allocated to them. They took the good with the bad in stride; troopers of a very special order. With some reluctance, they decided to have a small wedding in the back yard and Valerie's two daughters delighted in arranging flower sprays around the arbor and the canopies that covered the dining tables. They fussed over their mother and even wheeled ""Ma's"" hospital bed to the window so she could watch. It was a festive occasion with family and dear friends present to celebrate their official union.

The next morning they left by plane to Florida where they would board their honeymoon liner.

While getting dressed for dinner, Barry suddenly doubled over, flushed red and sank to the floor. At forty years old, he was suddenly dead of a heart attack. Valerie was a very strong, spiritual person, but almost fell to pieces when she realized Barry was gone. She didn't need the ship's doctor to tell her what happened. She felt it and she knew Barry was dead and there was no hope of him being resuscitated. She was in shock, but rose to the occasion, abandoning the ship with the gourney and Barry's body. She made the necessary calls home to let the family know. Barry's son flew down immediately to help Valerie while other family members sat wringing their hands and sobbing. They had not even had time to clean up after the wedding. Bright colored wrapping paper with pretty white bows overflowed in the trash cans out back. Other presents in boxes still lay on the kitchen counters as the girls were planning to collect the cards and send thank you notes to the guests. Part of the cake sat in the refrigerator and empty as well as half filled liquor bottles adorned the kitchen and pantry. The festive occasion, now turned sour, left everyone grappling for something to say or do, but their was nothing but attend to the funeral arrangements.

Valerie went through the motions, doing what she had to do and only in private permitting herself to openly cry. She had two daughters, Barry's son and his mother to attend to, so she resolved to move on with her life as best she could. She felt the void, but continued their routine of sitting by ""Ma's"" bed for the nightly reading. Three weeks after Barry's death, Valerie sat by her mother-in-law's bed when Ma suddenly looked up, straining her eyes to see something or someone in the room,. She had not been able to focus nor had she shown any interest until that point and Valerie turned to see what she was looking at. It was late, she was tired and had been about ready to call it a a night when she saw Barry standing there smiling. Barry was a Libra, ruled by the planet Venus, Goddess of Love & Beauty and was true to his ruling planet. He was meticulous in his dress and personal appearance which the apparition mimicked except for one small detail. He was wearing an orange tie with little white ghosts all over it. Valerie looked at him and asked, ""Where did you get that God-awful tie..."" The only response she got was a smile. When she turned to look at Ma and then looked back, he was gone. A few hours later, his mother passed and Valerie knew that he had come for her, The ghostly tie was a reflection of his sense of humor. She was not afraid nor was there any reason to be. Barry was the same in death as in life and a tender last moment passed between them as he faded into Netherlands forever.

There was no question and answer scenario as in many of my other stories. I listened and gave feedback as best I could. She wanted to share this with someone and I was the one. Thank you, Valerie. Hope all is well. Hugs!","Family / Friends Visits","United States"
"Through the Pali with the Help of Pele","My mother is a very spiritual women. She believes in the good and the bad spirits and the powers they have. We are Hawaiian and come from a family of healers, now and days we would be called witches. Within our family certain members were given the gift of preminisions or the ability to sense or see things that mot cant. Recentally My mother, step-father, my 2 brothers and I had flown to Waimanalo to visit my family for 11 days. Towards the end of our trip we decided to visit the big island. Where my mother explained more about our culture by visiting sites such as the chain of craters and the refuge. One thing my mother mentioned was ""Pele does not like it when you take apart of her..."" i.e. Rocks or leaves ""if you take it from where ever you are, even to another islan, bad luck will follow you and the rest of our family. So DONT take anything"". Not because it was a long day, but anyone who takes a plane ride or even attempts to go near an airport is exhausted. Since we were the 1st plane to the big island and the last plane back to Oahu all in the same day I'm sure you could assume just how tired we were.

My step-father is a great man. He tries so hard and we love him for it. Being a kid he didn't have good experiences, it was like he wasn't allowed to have fun (I was told by my mother) so sometimes its not his fault when he acts the way he does. He's sometimes a Mr. Know-it-all and even when hes wrong he doesn't like to admit it. Like most men. :) and he can sometimes be ""butthead""; we (my brothers and i, even sometimes my mom) call him a boob. Being that he married my mother he became very accustomed to the hawaiian culture and was very well accepted by the rest of my family. He's visited hawaii in general maybe about 3 times in all so its not like he really knows his way around.

On our way back from the airport headed towards waimanalo he got onto the wrong freeway headed towards waikiki. The completely wrong way. My mother tried to tell him and he got so flusterd he got off at the next exit to turn around and go back the way we came from, but when he did it wasn't headed back the way he wanted to go. It was a completely different street. So here we are in the middle of downtown waikiki lost. My mother and step-dad are arguing about which way to go and how to get back home. When we finally get back onto the freeway (still going the wrong way) my step-dad finally says to my mom ""WELL IF YOU KNOW WHERE WERE GOING DO YOU WANT TO DRIVE?!"" my mother said she can't because of all the medication she is on beacuse of her being sick with lupus. When we see the exit for the Pali the car is sient. My brothers are quietly making fun of my step-dad in the back seat and my mother is looking out the window.

My mother says that as we were driving when the lights lining the highway shown on my step-dad it was him but when it was dark out of the corner of her eye she saw and old women, with long white hair, and what looked to be a head lei and a sash. She said she saw this from the bottom of the Pali to the end. She said the figure wasn't a frightening or mean presence but she looked to be very attentive, almost as if she was trying to get somewhere. My mother said it was like she was helping my step-dad find our way back on the right road after being lost.

When my mother mentioned this to my Uncle (a very spiritual and well educated man) he said with no hesitation ""It was Pele guiding you"". He continued to explain Pele has many different forms but always white. Such as a white dog, a women with White hair, or a women with a white dog, a white owl...""

Maybe my mother was tired. Maybe not. But I would like to believe it WAS Pele.","Misc","UM"
"Demon Hunter","At first I didn't believe in demons and what not. But that all changed when my brother went to the cemetery just for kicks. After he was done, he went home and that's when my nightmare began. I was in my back yard when I heard my mom calling my name. I went to see what she wanted, but no one was there. I asked her if she called me and she said no.

Two days past and nothing. I was watching TV when my sister started to scream, I ran into her room to see what was wrong. She was sitting in her bed. Broken glass everywhere. I walked in to see what had happen, she said that she saw two shadowy like figures looking at her. I was so mad that I ran outside wanting to fight anyone but there was nothing. I went back to my sister to see if she was okay, she told me that the shadows made the glass brake.

Two more days past and I was beginning to sense that something evil was in my house, but I didn't say. Night after night I stayed up waiting to see if anything happen. I really didn't care about anything at that time, I just wanted to know what was going on. One day a priest came to my house and blessed it. To tell you truth that really didn't work because the same night I went jogging and I felt something behind me. I suddenly turn my head and saw a shadow person.

The thing that's funny is people think that they're aliens. But they're really Demons, I know because I am hunting them down for like seven years now. Some people say I might be crazy. But I've been to doctors and they all say the same thing, that I am fine.","Haunted Places","United States"
"Seeing Dad... Again","Many incidents have happened in my life, benevolent AND malevolent views of the other side(s) ;) This is by far the more impressive and comforting incident of my life. My father died in January 2001 from pancreatic cancer. He was luckier than most that the excruciating pain that accompanies such a cancer, only struck him the morning prior to his passing later that evening. For most of the last day of his life, he was semi-comatose. He passed away shortly before 10PM.

I hadn't felt my father around at all, until the summer after his death. It was a very hot day, June, July, or August, I can't be sure. Just hot, humid a regular scalding Texas afternoon. I was at my mother's, had just finished mowing her yard, and was sitting in the shade under her oak trees, cooling off with a glass of iced tea after my yard work. I know I wasn't asleep, it was too hot for that... And I was gritty and sweaty from midday mowing.

I was sitting facing the house, and I saw my father as plain as day, walk across the yard and toward the corner of the house. He was approximately 30 feet from me. He was dressed in a red & blue stripped shirt, sleeves rolled up to his elbows, had on his favorite pair of Levi jeans, dark blue running shoes, and was striding with purpose, his head down as if in contemplation, arms swinging. He was as solid as if he were flesh and blood, oblivious to my presence.

I had a good 15-20 second view of him before he disappeared... It was amazing. I just sat in awe, a wonderful feeling of peace washed over me. I shared this with my sister, who is firm believer due to her own experiences. However, I was hesitant to share with Mom, who gets the willies easily. :)

I did finally share this with my Mom. She wasn't as weirded out as I thought she would be, considering he disappeared into the wall of her house! LOL. Over the last 6 years, Mom has had a few things happen to her that could only be my father, like waking her in the middle of the night like he used to when he was alive. My sister has seen him reflected in windows behind her.

I feel particularly blessed that I witnessed him one more time. When I'm at my Mom's, I do keep myself open to see if I get another sighting of Dad.","Family / Friends Visits","United States"
"Weird Living Room","First of all I am ten. This encounter happened a few months ago. We were having a no tech week so we couldn't watch tv. We had the lego down stairs and my dad picked me up from school and was now having a nap. It was raining outside and my friend knocked on the door and asked if she could stay here because she had lost her key.

We sat in the living room and started playing with the lego. I didn't have the lights on, so it was a bit dark. She started talking about ghosts and we had a long conversation about ghosts and how her history teacher is haunted. My foot became numb and I had a shiver down my spine. Then the glass door leading to the living room began to open. I shut it, it opened again. I did this a number of times and I shut the door properly, but it still opened.

Every time I opened the door I felt a icy hand grab my shoulder and send shivers down my spine. I turned on the lights and everything stopped. Then my brother arrived from school. We carried on talking about ghosts. A power cut that lasted 20 seconds. No more happened that day.

But throughout the following months I have had similar experiences, such as shivers and the door. I am now at my friend's house and when I walked pass her sister's room, I saw a black ghostly figure. Also when someone taps me on the back and they say ""did you feel that?"", next they don't touch me and they say ""did you feel that"" and I can feel a number of taps on my back so I say ""yes"" and they break the news to me but I still did feel something.

PLEASE HELP ME!","Poltergeists / Physical Manifestations","United Kingdom"
"Was the Deceased Angry with Me?","After I had finished my studies at San Digo State University, I returned to my native city of Hong Kong in June 1979. From time to time, I visited my married sister who had 2 children, a 5-year-old boy and an 8-year-old daughter. During one of these visits, my sister told me that her husband's uncle had just passed away and that the next day she had to go to the funeral parlor to prepare for a buddhist ceremony which would begin in the evening. She asked if I could look after the children while she was away and took the children to the funeral parlor around 7pm.

It was OK with me and I arrived with the children as I had been told. There were rows of chairs and people were waiting for the monk to pray for the soul of the dead so he could be in peace. There was the casket and a big picture of the deceased in the front. I immediately found a place to sit down and then I noticed that actually everybody bowed to show respect to the deceased before they sat down. I wanted to leave my seat to bow but then, I had to ask several people to excuse me. Besides, it might seem awkward to go out to bow after being seated. So I did not pay respect to the dead, like people say.

After the ceremony, my sister suggested that I spend the night in her house and I slept in my niece's room. It was then that something happened, which to this day, after 28 years, still puzzles me. So I went to bed and for some reason I woke up and saw my sister, in a white night gown, at the foot of the bed, walking away. Thinking that she might be looking for a pillow or something, I went back to sleep.

The next morning at breakfast, I asked her what she was looking for when I was sleeping and she said that she had never gone into the room. I told her what I had seen and she said that it might have been her daughter looking for something in her room. But I told her that the person I saw was about 5 foot 4, an adult, and her daughter was only about 4 feet. Then my sister, who is a timorous person, began to look really scared and did not even want to stay in the apartment. Finally, her husband told me not to talk nonsense and I never mentioned this again.

So, did I really see a ghost who was annoyed with my for not bowing to him?","Apparitions / Voices / Touches","HK"
"Repetitive Voices","My cousin (I can't tell his real name and, I will call him Bryan for this story.) was in Pugwash N.S. cutting down some birch trees because he makes wooden chairs and sells them. He had a non electric saw and started sawing and he started hearing all these different voices talking. Then he stopped sawing and they stopped. He started sawing again and the voices started, again. He said this went on three times. He went and looked up and down the road to see if there was anybody around. There was no one about.

So, he went back sawing and he still could hear the voices again as he sawed. This happened a few more times and then he decided to pretend he was sawing. He then heard, this one voice saying, ""Kat-tie,Kat-tie,Kat-tie..."" He wondered about that and told his mother about it. She called my mother (she is her sister) and asked her about it. My mother is psychic and she told her sister that it has something to do with the past of their old home stead. Time was repeating itself and he was picking that up. He said the voice he heard was my mother's mother. She died several years ago and he met her years before that and thought this was strange.

My aunt was so scared after hearing this! He told her, ""Spirits can't hurt you!"" She calmed down after that. He says, he will continue to go and cut down more birch trees soon. He's not afraid of what happened to him.","Family / Friends Visits","Canada"
"Night Time Visitors","When I was young boy living in Australia I was a very light sleeper, very sensitive, too. If someone entered my room while I was asleep they would wake me up even if they were trying to be quiet. I would also somehow know whether it was my Mum or Dad or one of my two sisters, I mean as soon as I woke up I'd know exactly which family member was in my room.

Twice I was woken in the middle of the night and my gift failed me. I don't recall how young I was at the time, but I was easily under 10 years of age.

The first time I woke up and opened my eyes I was looking straight into the face of a figure leaning over me. I say ""face"" because he was leaning over me, but truth be told I couldn't see a face, or make out any distinguishing features at all; it was just a dark shape, leaning over me. I do not believe it was my father, although he was a big man and this figure leaning over me was large as well, because it didn't ""feel"" like my father. My reaction at finding a stranger leaning over me in the middle of the night was immediate and frantic. I grabbed my teddy bear, yanked the covers over my head and burrowed down to the foot of the bed. If it had been my father checking on me, I'd like to think he would have responded to this reaction by letting me know it was him and seeking to calm me down... But there were no such fatherly reassurances that night.

I distinctly remember the next morning asking my Mum if she or Dad had come into my room to check on me. I know they used to do that, but it was never anything more than opening my door and peeking in, which would still wake me up. This was someone who'd entered my room and been leaning over me with their ""face"" barely a foot or so from mine, and they hadn't been a member of my family.

A year or two later (I'm unclear on my exact age, I'm 38 now so we're probably going back a good 30 years or so) I was again woken in the middle of the night. When I woke up I could sense someone standing at the foot of my bed, looking at me. Again if either of my parents had been checking on me they would have done nothing more than popped their head in the door, but this figure was standing at the foot of my bed, and it didn't feel like my parents. Oddly enough, despite there being a street light right outside my bedroom window, and despite having excellent night vision (I wear sunglasses all the time because even a cloudy day is too bright), my room was pitch black and I couldn't see a thing, but I knew someone was there in the dark, watching me. I could feel them there and it terrified me.

I've since spoken with other people who've had visitors in the night (people I personally know and trust) and they've all been able to describe their visitor, their facial features, clothing, everything. They've also told me that while they were a little disturbed to wake up and find someone watching over them, that they also felt calm and at peace and they somehow knew their visitor meant them no harm.

My midnight visitors were dark apparitions that scared me half to death. I was never harmed, but they were not peaceful experiences at all.","Apparitions / Voices / Touches","Australia"
"The Dean's Visit","This happened today. The Dean Head of the Board of the Faculty where I work died last month after a sudden illness. He was very loved by his students and we all were devastated. This morning, a month after his passing, the cleaning lady opened the door to the Board room to do some cleaning. She said that when she opened the door, she felt cold chills. She went into the room to turn on the lights, as the room was dark. When she turned on the lights, she froze: there, at the table, was the Dean, sitting in his chair, smiling at her. He wore a blue shirt with white stripes. He wasn't transparent or anything, he was just sitting there as if he was still made of flesh and blood. She blinked and he was gone.

The cleaning lady stormed out of the room. The Secretary of the Board, who was close to the Dean and his family, was on her way to the Board room. She saw the cleaning lady and immediately knew something was wrong. She took her to another room and trembling all over the lady related her story. It turned out that since his passing, the Dean had shown himself to 4 other people outside of the Faculty, including his wife. They guessed that he was probably waiting for the Secretary of the Board who usually went into the Board room around that time of the morning.","Family / Friends Visits","SR"
"The Basement Dancer","The year, I think, was 1992 in December. I was 8 years old. On this day my mother and father had gotten home from shopping. I was excited to find out that they had gone Christmas shopping! So as I was looking through the already wrapped gifts, I saw that I had less then everyone else. Being a kid I quickly started whining and threw a fit all over the place. Even during the explanation of why I had less (I later found out it was because I was the one constantly digging and peeking through my gifts so they didn't want to put more under the tree then they already had too until the last minute).

I ran downstairs with only the light from the backdoor window shining down the steps enough to give me a view of them. Not realizing that no other light was on, as I got to the bottom I turned the corner into the living area where there was a bed for ""guest"" and I jumped on it digging my face into the pillow. See, I thought someone was going to come down after me but I guess they just wanted me to cry it out.

After a while my ears picked up a noise coming from around the stairs in the Laundry Room (see if you went downstairs you turned the opposite from the living area and went beside the steps to the laundry room. It was like a whole other area back there with two closets and a little storage space behind the steps. From there you could actually grab someone's legs coming down because the stairs were gaped in between them, if you know what I'm saying). For a few seconds I would try to understand the noise and figure out where it was actually coming from. Then I thought about the Laundry Room. To my horror I then realized what it sounded like... Baby dress shoes dancing or jumping. My heart stopped and I could not move. Even my voice was no more after trying to call out for my mom. After a few seconds (which felt like hours) I started moving off the bed looking around the dark corner at the same time. The Steps and the small part of the concrete floor lid up by the back door was the only comfort I had. Moving closer to the steps the ""dancing"" still continued and did so until I arrived at the first step.

Just before I began to run, it sounded as if the noise was coming closer to me from around the corner. About that time I was running up the steps yelling ""mom!, Mom!"" at the same time waiting for something to grab my feet on the way up. I can still remember the feeling of something staring at me from the bottom of the steps.

This house was not new when my parents bought it. So many strange things have happened in this house during the time we had lived in it (1988 - 1995).

If you would like to hear some more terrifying stories from this house and other family homes you can email me at tonighttheyfly [at] yahoo [dot] com

Thanks.

Scott R.","Poltergeists / Physical Manifestations","United States"
